model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TAtracado,6000,42,30.235549656914223,0.4344243181395342,15.369381006360054,4.722,0.00072,159
xgboost,TAtracado,6000,137,29.044414855620722,0.4781084631498941,15.709242978692055,3.195,0.00062,74
xgboost,TAtracado,6000,256,26.679654976827113,0.5596323481593093,14.691693152785302,4.604,0.00072,141
xgboost,TAtracado,6000,512,27.26087333971657,0.5402364670136892,14.946651223301888,3.307,0.00066,71
xgboost,TAtracado,6000,1024,29.708995156284253,0.4539518784343408,15.133937044739723,8.967,0.00097,467
xgboost,TAtracado,6000,2048,25.33862012457835,0.6027893239005326,14.483181543946266,3.161,0.00063,72
xgboost,TAtracado,6000,3141,26.06854518962296,0.5795749526517019,14.014389192461968,5.916,0.00078,245
xgboost,TAtracado,6000,4096,28.41551266516613,0.5004649301396824,14.576981833577156,3.724,0.00068,89
xgboost,TAtracado,6000,5000,28.49712333899244,0.49759143374653525,14.875218586921692,5.292,0.00073,179
xgboost,TAtracado,6000,6273,29.131292543634725,0.4749816284752023,14.977504088282585,4.299,0.00068,118
xgboost,TAtracado,6000,7777,26.36395105516576,0.5699925450492715,14.216706054806709,3.584,0.00068,104
xgboost,TAtracado,6000,8192,28.297978569249008,0.504588802791309,14.402162889838218,4.253,0.0007,132
xgboost,TAtracado,6000,9001,26.46480809248303,0.5666962080276028,14.132139697670937,3.201,0.00067,73
xgboost,TAtracado,6000,10240,26.561002632496724,0.5635405296721199,14.79734259068966,4.244,0.00077,120
xgboost,TAtracado,6000,11111,30.293958378075693,0.43223706104810256,15.377988700270652,5.388,0.00079,217
xgboost,TAtracado,6000,12345,26.441206758413614,0.5674687046571716,14.060469661355018,3.296,0.00066,73
xgboost,TAtracado,6000,13579,27.599087896450765,0.5287575006420766,15.909595316052437,6.98,0.00093,327
xgboost,TAtracado,6000,14641,29.74913400524738,0.45247538627197337,15.696953796744346,4.539,0.00072,107
xgboost,TAtracado,6000,15360,40.29834685257879,-0.004683922877346092,16.836373353600504,4.26,0.00072,109
xgboost,TAtracado,6000,16384,25.319913655842424,0.6033755962605646,14.363385930657387,2.594,0.0006,47
xgboost,TAtracado,12000,42,25.003797909991636,0.6132173792529831,13.158216875195503,5.861,0.00074,107
xgboost,TAtracado,12000,137,28.25716708283487,0.5060167413776233,14.112466916441917,7.868,0.00079,198
xgboost,TAtracado,12000,256,24.628782044418326,0.624732579216059,13.354896503090858,6.101,0.00077,120
xgboost,TAtracado,12000,512,26.082766091934374,0.5791161273304717,13.79649818122387,5.867,0.00075,114
xgboost,TAtracado,12000,1024,41.18135872433904,-0.04919529529659572,17.586683400273323,5.653,0.00069,102
xgboost,TAtracado,12000,2048,27.199004278903022,0.5423209827401188,13.970042605996133,6.444,0.0007,135
xgboost,TAtracado,12000,3141,26.4545212278497,0.5670329927233051,13.328786372542382,6.94,0.00085,159
xgboost,TAtracado,12000,4096,24.656722292260543,0.6238806481589263,13.055515701174736,6.93,0.00072,139
xgboost,TAtracado,12000,5000,28.708688737787377,0.4901038828490051,15.15911769092083,7.2,0.001,161
xgboost,TAtracado,12000,6273,29.454387193091055,0.4632711071114082,14.437881344556809,6.959,0.00092,155
xgboost,TAtracado,12000,7777,25.145814025496268,0.6088112199210772,12.530895267128944,5.401,0.00073,87
xgboost,TAtracado,12000,8192,25.721795237656206,0.5906851089031205,13.683559800982476,7.068,0.00077,165
xgboost,TAtracado,12000,9001,24.89671897472462,0.6165230841403792,13.446901385188102,12.429,0.001,429
xgboost,TAtracado,12000,10240,29.604811887354405,0.4577749178144582,13.992598957419396,9.352,0.00108,251
xgboost,TAtracado,12000,11111,30.3577651401719,0.4298428366903929,14.881656995415687,6.115,0.00071,122
xgboost,TAtracado,12000,12345,26.032100814106794,0.5807496570981114,14.342003368735313,11.287,0.00095,430
xgboost,TAtracado,12000,13579,26.28717072455603,0.5724935387507398,13.71295646250248,14.354,0.00113,573
xgboost,TAtracado,12000,14641,39.630038973899175,0.028363120838450384,15.99176737844944,5.181,0.00076,89
xgboost,TAtracado,12000,15360,28.37141955727941,0.5020140110787288,14.787820927500725,8.751,0.00081,275
xgboost,TAtracado,12000,16384,25.623161321514306,0.5938182435481305,13.677257304787636,5.463,0.00067,100
